iter	Passed	Remaining
0	61	10488
1	116	9871
2	168	9428
3	220	9214
4	272	9042
5	322	8872
6	377	8841
7	417	8512
8	463	8351
9	504	8115
10	543	7900
11	584	7739
12	627	7627
13	668	7491
14	707	7361
15	752	7291
16	794	7195
17	838	7128
18	885	7083
19	927	7005
20	971	6936
21	1013	6863
22	1053	6779
23	1094	6703
24	1135	6631
25	1176	6561
26	1218	6498
27	1268	6476
28	1313	6431
29	1358	6384
30	1402	6332
31	1443	6271
32	1486	6215
33	1535	6186
34	1569	6099
35	1604	6017
36	1638	5934
37	1672	5854
38	1711	5791
39	1744	5713
40	1778	5637
41	1811	5563
42	1844	5492
43	1878	5422
44	1913	5358
45	1948	5295
46	1983	5232
47	2019	5174
48	2053	5113
49	2088	5053
50	2127	5006
51	2161	4946
52	2193	4884
53	2228	4827
54	2259	4765
55	2294	4711
56	2327	4654
57	2360	4598
58	2392	4541
59	2426	4489
60	2458	4433
61	2492	4381
62	2545	4364
63	2578	4311
64	2612	4259
65	2645	4209
66	2680	4160
67	2713	4110
68	2745	4058
69	2782	4014
70	2817	3967
71	2854	3924
72	2887	3877
73	2927	3836
74	2970	3802
75	3018	3773
76	3065	3741
77	3103	3700
78	3143	3660
79	3180	3618
80	3217	3574
81	3254	3532
82	3290	3488
83	3326	3445
84	3362	3401
85	3401	3361
86	3442	3323
87	3480	3282
88	3515	3238
89	3549	3194
90	3581	3148
91	3618	3107
92	3653	3064
93	3688	3021
94	3726	2981
95	3766	2942
96	3800	2898
97	3836	2857
98	3870	2814
99	3910	2776
100	3948	2736
101	3986	2696
102	4023	2656
103	4062	2617
104	4099	2576
105	4138	2537
106	4183	2502
107	4225	2464
108	4266	2426
109	4309	2389
110	4352	2352
111	4395	2315
112	4438	2278
113	4478	2239
114	4521	2201
115	4564	2164
116	4614	2129
117	4663	2094
118	4704	2055
119	4748	2018
120	4794	1981
121	4840	1944
122	4880	1904
123	4924	1866
124	4967	1828
125	5012	1790
126	5060	1753
127	5110	1716
128	5156	1678
129	5205	1641
130	5246	1602
131	5289	1562
132	5330	1523
133	5375	1484
134	5419	1445
135	5460	1405
136	5497	1364
137	5543	1325
138	5585	1285
139	5625	1245
140	5669	1206
141	5716	1167
142	5760	1127
143	5800	1087
144	5847	1048
145	5889	1008
146	5935	969
147	5979	929
148	6016	888
149	6055	847
150	6094	807
151	6133	766
152	6166	725
153	6203	684
154	6240	644
155	6277	603
156	6312	562
157	6350	522
158	6390	482
159	6432	442
160	6477	402
161	6519	362
162	6563	322
163	6607	282
164	6647	241
165	6692	201
166	6734	161
167	6777	121
168	6818	80
169	6860	40
170	6900	0
